"site","transect","habitat","month","depth","abundance"
"site1","transect1_site1","seagrass","May",1.7,6
"site1","transect1_site1","seagrass","July",2.2,36
"site1","transect1_site1","seagrass","September",1.5,39
"site1","transect1_site1","coral","May",8,22
"site1","transect1_site1","coral","July",9.3,30
"site1","transect1_site1","coral","September",8.2,41
"site1","transect1_site1","sand","May",16.2,2
"site1","transect1_site1","sand","July",14,3
"site1","transect1_site1","sand","September",16.2,8
"site1","transect2_site1","seagrass","May",1.8,20
"site1","transect2_site1","seagrass","July",4.3,29
"site1","transect2_site1","seagrass","September",0.5,4
"site1","transect2_site1","coral","May",9.2,19
"site1","transect2_site1","coral","July",9.8,7
"site1","transect2_site1","coral","September",9.8,6
"site1","transect2_site1","sand","May",14.9,5
"site1","transect2_site1","sand","July",17,7
"site1","transect2_site1","sand","September",14.8,0
"site1","transect3_site1","seagrass","May",3.3,14
"site1","transect3_site1","seagrass","July",2.7,69
"site1","transect3_site1","seagrass","September",3.5,55
"site1","transect3_site1","coral","May",6.8,29
"site1","transect3_site1","coral","July",7.6,60
"site1","transect3_site1","coral","September",6.4,54
"site1","transect3_site1","sand","May",13.9,3
"site1","transect3_site1","sand","July",14.6,11
"site1","transect3_site1","sand","September",16.5,4
"site1","transect4_site1","seagrass","May",3.7,20
"site1","transect4_site1","seagrass","July",4.4,30
"site1","transect4_site1","seagrass","September",1,12
"site1","transect4_site1","coral","May",6.1,20
"site1","transect4_site1","coral","July",9.5,65
"site1","transect4_site1","coral","September",9.7,21
"site1","transect4_site1","sand","May",14.1,0
"site1","transect4_site1","sand","July",14.7,7
"site1","transect4_site1","sand","September",13.2,0
"site2","transect1_site2","seagrass","May",4.1,41
"site2","transect1_site2","seagrass","July",0.9,35
"site2","transect1_site2","seagrass","September",1,35
"site2","transect1_site2","coral","May",9,38
"site2","transect1_site2","coral","July",7.8,31
"site2","transect1_site2","coral","September",7.5,34
"site2","transect1_site2","sand","May",16.6,11
"site2","transect1_site2","sand","July",15.8,8
"site2","transect1_site2","sand","September",13,6
"site2","transect2_site2","seagrass","May",2.9,180
"site2","transect2_site2","seagrass","July",2.7,46
"site2","transect2_site2","seagrass","September",3.5,89
"site2","transect2_site2","coral","May",8,44
"site2","transect2_site2","coral","July",8.7,73
"site2","transect2_site2","coral","September",6.2,73
"site2","transect2_site2","sand","May",13.7,18
