Quadrat,Water moisture,Rare plant abundance,,
1,0.19,0,,
2,0.09,0,,
3,0.35,0,,
4,0.38,5,,
5,0.53,5,,
6,0.3,0,,
7,0.08,0,,
8,0.29,0,,
9,0.24,0,,
10,0.93,10,,
11,0.45,0,,
12,0.79,7,,
13,0.75,8,,
14,0.25,0,,
15,0.97,10,,
16,0.47,0,,
17,0.85,11,,
18,0.48,0,,
19,0.22,0,,
20,0.65,6,,
21,0.95,12,,
22,0.82,9,,
23,0.32,0,,
24,0.36,4,,
25,0.43,5,,
26,0.72,7,,
27,0.69,7,,
28,0.26,0,,
29,0.36,0,,
30,0.33,1,,
31,0.37,5,,
32,0.2,0,,
33,0.66,6,,
34,0.55,0,,
35,0.32,1,,
36,0.58,0,,
37,0.81,7,,
38,0.29,0,,
39,0.41,0,,
40,0.35,3,,
41,0.02,0,,
42,0.32,0,,
43,0.06,0,,
44,0.29,0,,
45,0.34,3,,
46,0.3,0,,
47,0.85,9,,
48,0.14,0,,
49,0.03,0,,
50,0.06,0,,
