"","spname","spcode","trophicgroup","minsize_cm","maxsize_cm","psu","depth_m","relief_m","mpa","density","presabs","prot"
"1","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5000_2019",26.67,-0.89771434630122,NA,1.5,1,"unprotected"
"2","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5001_2019",29.1084,-1.83258146374831,NA,4,1,"unprotected"
"3","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5002_2019",27.7368,-1.55589714550607,NA,11.5,1,"unprotected"
"4","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5003_2019",27.8892,-1.03314060930813,NA,0,0,"unprotected"
"5","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5003_2021",28.4988,-0.399918021679048,NA,1.5,1,"unprotected"
"6","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5004_2019",29.4132,-1.91392710320226,NA,3.5,1,"unprotected"
"7","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5005_2021",28.194,-1.19155028432738,NA,0.5,1,"unprotected"
"8","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5006_2019",29.1084,-1.77637836718975,NA,8,1,"unprotected"
"9","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5007_2019",25.4508,-1.24479479884619,NA,1,1,"unprotected"
"10","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5008_2019",10.2108,0.873905015377717,NA,16,1,"unprotected"
"11","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5009_2019",6.096,-0.23572233352107,NA,0,0,"unprotected"
"12","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5009_2021",9.6012,-0.584292775647863,NA,8.5,1,"unprotected"
"13","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5010_2019",10.8204,-1.62328331925615,NA,12.5,1,"unprotected"
"14","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5010_2021",24.6888,-0.792967515842156,NA,25,1,"unprotected"
