Date,Soak Type,Seagrass,Txid,Family,JuvFish
42418,day,H. stipulacea,1,Acanthuridae,0
42418,day,H. stipulacea,1,Carangidae,0
42418,day,H. stipulacea,1,Gerridae,0
42418,day,H. stipulacea,1,Haemulidae,0
42418,day,H. stipulacea,1,Lutjanidae,0
42418,day,H. stipulacea,1,Mullidae,0
42418,day,H. stipulacea,1,Scaridae,0
42418,day,H. stipulacea,2,Acanthuridae,0
42418,day,H. stipulacea,2,Carangidae,0
42418,day,H. stipulacea,2,Gerridae,0
42418,day,H. stipulacea,2,Haemulidae,0
42418,day,H. stipulacea,2,Lutjanidae,0
42418,day,H. stipulacea,2,Mullidae,0
42418,day,H. stipulacea,2,Scaridae,0
42418,day,H. stipulacea,3,Acanthuridae,0
42418,day,H. stipulacea,3,Carangidae,0
42418,day,H. stipulacea,3,Gerridae,0
42418,day,H. stipulacea,3,Haemulidae,0
42418,day,H. stipulacea,3,Lutjanidae,2
42418,day,H. stipulacea,3,Mullidae,0
42418,day,H. stipulacea,3,Scaridae,0
42418,day,H. stipulacea,4,Acanthuridae,0
42418,day,H. stipulacea,4,Carangidae,0
42418,day,H. stipulacea,4,Gerridae,0
42418,day,H. stipulacea,4,Haemulidae,3
42418,day,H. stipulacea,4,Lutjanidae,1
42418,day,H. stipulacea,4,Mullidae,0
42418,day,H. stipulacea,4,Scaridae,0
42418,day,H. stipulacea,5,Acanthuridae,0
42418,day,H. stipulacea,5,Carangidae,0
42418,day,H. stipulacea,5,Gerridae,0
42418,day,H. stipulacea,5,Haemulidae,0
42418,day,H. stipulacea,5,Lutjanidae,0
42418,day,H. stipulacea,5,Mullidae,0
42418,day,H. stipulacea,5,Scaridae,0
42418,day,S. filiforme,1,Acanthuridae,2
42418,day,S. filiforme,1,Carangidae,0
42418,day,S. filiforme,1,Gerridae,0
42418,day,S. filiforme,1,Haemulidae,0
42418,day,S. filiforme,1,Lutjanidae,0
42418,day,S. filiforme,1,Mullidae,4
42418,day,S. filiforme,1,Scaridae,0
42418,day,S. filiforme,2,Acanthuridae,0
42418,day,S. filiforme,2,Carangidae,0
42418,day,S. filiforme,2,Gerridae,0
42418,day,S. filiforme,2,Haemulidae,0
42418,day,S. filiforme,2,Lutjanidae,0
42418,day,S. filiforme,2,Mullidae,0
42418,day,S. filiforme,2,Scaridae,0
42418,day,S. filiforme,3,Acanthuridae,0
42418,day,S. filiforme,3,Carangidae,0
42418,day,S. filiforme,3,Gerridae,0
42418,day,S. filiforme,3,Haemulidae,0
42418,day,S. filiforme,3,Lutjanidae,2
42418,day,S. filiforme,3,Mullidae,0
42418,day,S. filiforme,3,Scaridae,0
42418,day,S. filiforme,4,Acanthuridae,0
42418,day,S. filiforme,4,Carangidae,0
42418,day,S. filiforme,4,Gerridae,0
42418,day,S. filiforme,4,Haemulidae,0
42418,day,S. filiforme,4,Lutjanidae,0
42418,day,S. filiforme,4,Mullidae,0
42418,day,S. filiforme,4,Scaridae,0
42418,day,S. filiforme,5,Acanthuridae,0
42418,day,S. filiforme,5,Carangidae,0
42418,day,S. filiforme,5,Gerridae,0
42418,day,S. filiforme,5,Haemulidae,0
42418,day,S. filiforme,5,Lutjanidae,0
42418,day,S. filiforme,5,Mullidae,0
42418,day,S. filiforme,5,Scaridae,0
42418,night,H. stipulacea,1,Acanthuridae,0
42418,night,H. stipulacea,1,Carangidae,0
42418,night,H. stipulacea,1,Gerridae,0
42418,night,H. stipulacea,1,Haemulidae,2
42418,night,H. stipulacea,1,Lutjanidae,5
42418,night,H. stipulacea,1,Mullidae,1
42418,night,H. stipulacea,1,Scaridae,0
42418,night,H. stipulacea,2,Acanthuridae,0
42418,night,H. stipulacea,2,Carangidae,0
42418,night,H. stipulacea,2,Gerridae,0
42418,night,H. stipulacea,2,Haemulidae,1
42418,night,H. stipulacea,2,Lutjanidae,1
42418,night,H. stipulacea,2,Mullidae,0
42418,night,H. stipulacea,2,Scaridae,0
42418,night,H. stipulacea,3,Acanthuridae,0
42418,night,H. stipulacea,3,Carangidae,0
42418,night,H. stipulacea,3,Gerridae,0
42418,night,H. stipulacea,3,Haemulidae,3
42418,night,H. stipulacea,3,Lutjanidae,3
42418,night,H. stipulacea,3,Mullidae,0
42418,night,H. stipulacea,3,Scaridae,0
42418,night,H. stipulacea,4,Acanthuridae,0
42418,night,H. stipulacea,4,Carangidae,0
42418,night,H. stipulacea,4,Gerridae,0
42418,night,H. stipulacea,4,Haemulidae,1
42418,night,H. stipulacea,4,Lutjanidae,4
42418,night,H. stipulacea,4,Mullidae,0
42418,night,H. stipulacea,4,Scaridae,0
42418,night,H. stipulacea,5,Acanthuridae,0
42418,night,H. stipulacea,5,Carangidae,0
42418,night,H. stipulacea,5,Gerridae,0
42418,night,H. stipulacea,5,Haemulidae,0
42418,night,H. stipulacea,5,Lutjanidae,1
42418,night,H. stipulacea,5,Mullidae,0
42418,night,H. stipulacea,5,Scaridae,0
42418,night,S. filiforme,1,Acanthuridae,0
42418,night,S. filiforme,1,Carangidae,0
42418,night,S. filiforme,1,Gerridae,0
42418,night,S. filiforme,1,Haemulidae,1
42418,night,S. filiforme,1,Lutjanidae,0
42418,night,S. filiforme,1,Mullidae,0
42418,night,S. filiforme,1,Scaridae,0
42418,night,S. filiforme,2,Acanthuridae,0
42418,night,S. filiforme,2,Carangidae,0
42418,night,S. filiforme,2,Gerridae,0
42418,night,S. filiforme,2,Haemulidae,0
42418,night,S. filiforme,2,Lutjanidae,1
42418,night,S. filiforme,2,Mullidae,0
42418,night,S. filiforme,2,Scaridae,0
42418,night,S. filiforme,3,Acanthuridae,0
42418,night,S. filiforme,3,Carangidae,0
42418,night,S. filiforme,3,Gerridae,0
42418,night,S. filiforme,3,Haemulidae,3
42418,night,S. filiforme,3,Lutjanidae,2
42418,night,S. filiforme,3,Mullidae,0
42418,night,S. filiforme,3,Scaridae,0
42418,night,S. filiforme,4,Acanthuridae,0
42418,night,S. filiforme,4,Carangidae,0
42418,night,S. filiforme,4,Gerridae,0
42418,night,S. filiforme,4,Haemulidae,0
42418,night,S. filiforme,4,Lutjanidae,2
42418,night,S. filiforme,4,Mullidae,0
42418,night,S. filiforme,4,Scaridae,0
42418,night,S. filiforme,5,Acanthuridae,0
42418,night,S. filiforme,5,Carangidae,0
42418,night,S. filiforme,5,Gerridae,0
42418,night,S. filiforme,5,Haemulidae,1
42418,night,S. filiforme,5,Lutjanidae,3
42418,night,S. filiforme,5,Mullidae,0
42418,night,S. filiforme,5,Scaridae,0
42419,day,H. stipulacea,1,Acanthuridae,0
42419,day,H. stipulacea,1,Carangidae,0
42419,day,H. stipulacea,1,Gerridae,0
42419,day,H. stipulacea,1,Haemulidae,1
42419,day,H. stipulacea,1,Lutjanidae,0
42419,day,H. stipulacea,1,Mullidae,0
42419,day,H. stipulacea,1,Scaridae,0
42419,day,H. stipulacea,2,Acanthuridae,0
42419,day,H. stipulacea,2,Carangidae,0
42419,day,H. stipulacea,2,Gerridae,0
42419,day,H. stipulacea,2,Haemulidae,0
42419,day,H. stipulacea,2,Lutjanidae,0
42419,day,H. stipulacea,2,Mullidae,1
42419,day,H. stipulacea,2,Scaridae,0
42419,day,H. stipulacea,3,Acanthuridae,0
42419,day,H. stipulacea,3,Carangidae,0
42419,day,H. stipulacea,3,Gerridae,0
42419,day,H. stipulacea,3,Haemulidae,0
42419,day,H. stipulacea,3,Lutjanidae,0
42419,day,H. stipulacea,3,Mullidae,0
42419,day,H. stipulacea,3,Scaridae,0
42419,day,H. stipulacea,4,Acanthuridae,0
42419,day,H. stipulacea,4,Carangidae,0
42419,day,H. stipulacea,4,Gerridae,0
42419,day,H. stipulacea,4,Haemulidae,1
42419,day,H. stipulacea,4,Lutjanidae,2
42419,day,H. stipulacea,4,Mullidae,0
42419,day,H. stipulacea,4,Scaridae,0
42419,day,H. stipulacea,5,Acanthuridae,0
42419,day,H. stipulacea,5,Carangidae,0
42419,day,H. stipulacea,5,Gerridae,0
42419,day,H. stipulacea,5,Haemulidae,1
42419,day,H. stipulacea,5,Lutjanidae,0
42419,day,H. stipulacea,5,Mullidae,0
42419,day,H. stipulacea,5,Scaridae,0
42419,day,S. filiforme,1,Acanthuridae,0
42419,day,S. filiforme,1,Carangidae,0
42419,day,S. filiforme,1,Gerridae,0
42419,day,S. filiforme,1,Haemulidae,0
42419,day,S. filiforme,1,Lutjanidae,2
42419,day,S. filiforme,1,Mullidae,0
42419,day,S. filiforme,1,Scaridae,0
42419,day,S. filiforme,2,Acanthuridae,0
42419,day,S. filiforme,2,Carangidae,0
42419,day,S. filiforme,2,Gerridae,0
42419,day,S. filiforme,2,Haemulidae,1
42419,day,S. filiforme,2,Lutjanidae,1
42419,day,S. filiforme,2,Mullidae,0
42419,day,S. filiforme,2,Scaridae,0
42419,day,S. filiforme,3,Acanthuridae,0
42419,day,S. filiforme,3,Carangidae,0
42419,day,S. filiforme,3,Gerridae,0
42419,day,S. filiforme,3,Haemulidae,2
42419,day,S. filiforme,3,Lutjanidae,2
42419,day,S. filiforme,3,Mullidae,7
42419,day,S. filiforme,3,Scaridae,0
42419,day,S. filiforme,4,Acanthuridae,0
42419,day,S. filiforme,4,Carangidae,0
42419,day,S. filiforme,4,Gerridae,0
42419,day,S. filiforme,4,Haemulidae,1
42419,day,S. filiforme,4,Lutjanidae,0
42419,day,S. filiforme,4,Mullidae,0
42419,day,S. filiforme,4,Scaridae,0
42419,day,S. filiforme,5,Acanthuridae,0
42419,day,S. filiforme,5,Carangidae,0
42419,day,S. filiforme,5,Gerridae,0
42419,day,S. filiforme,5,Haemulidae,0
42419,day,S. filiforme,5,Lutjanidae,0
42419,day,S. filiforme,5,Mullidae,0
42419,day,S. filiforme,5,Scaridae,0
42419,night,H. stipulacea,1,Acanthuridae,0
42419,night,H. stipulacea,1,Carangidae,0
42419,night,H. stipulacea,1,Gerridae,0
42419,night,H. stipulacea,1,Haemulidae,1
42419,night,H. stipulacea,1,Lutjanidae,1
42419,night,H. stipulacea,1,Mullidae,0
42419,night,H. stipulacea,1,Scaridae,0
42419,night,H. stipulacea,2,Acanthuridae,0
42419,night,H. stipulacea,2,Carangidae,0
42419,night,H. stipulacea,2,Gerridae,0
42419,night,H. stipulacea,2,Haemulidae,3
42419,night,H. stipulacea,2,Lutjanidae,0
42419,night,H. stipulacea,2,Mullidae,0
42419,night,H. stipulacea,2,Scaridae,0
42419,night,H. stipulacea,3,Acanthuridae,0
42419,night,H. stipulacea,3,Carangidae,0
42419,night,H. stipulacea,3,Gerridae,0
42419,night,H. stipulacea,3,Haemulidae,3
42419,night,H. stipulacea,3,Lutjanidae,3
42419,night,H. stipulacea,3,Mullidae,0
42419,night,H. stipulacea,3,Scaridae,0
42419,night,H. stipulacea,4,Acanthuridae,0
42419,night,H. stipulacea,4,Carangidae,0
42419,night,H. stipulacea,4,Gerridae,0
42419,night,H. stipulacea,4,Haemulidae,5
42419,night,H. stipulacea,4,Lutjanidae,0
42419,night,H. stipulacea,4,Mullidae,0
42419,night,H. stipulacea,4,Scaridae,0
42419,night,H. stipulacea,5,Acanthuridae,0
42419,night,H. stipulacea,5,Carangidae,0
42419,night,H. stipulacea,5,Gerridae,0
42419,night,H. stipulacea,5,Haemulidae,1
42419,night,H. stipulacea,5,Lutjanidae,0
42419,night,H. stipulacea,5,Mullidae,0
42419,night,H. stipulacea,5,Scaridae,0
42419,night,S. filiforme,1,Acanthuridae,0
42419,night,S. filiforme,1,Carangidae,0
42419,night,S. filiforme,1,Gerridae,0
42419,night,S. filiforme,1,Haemulidae,1
42419,night,S. filiforme,1,Lutjanidae,0
42419,night,S. filiforme,1,Mullidae,0
42419,night,S. filiforme,1,Scaridae,0
42419,night,S. filiforme,2,Acanthuridae,0
42419,night,S. filiforme,2,Carangidae,0
42419,night,S. filiforme,2,Gerridae,0
42419,night,S. filiforme,2,Haemulidae,0
42419,night,S. filiforme,2,Lutjanidae,1
42419,night,S. filiforme,2,Mullidae,0
42419,night,S. filiforme,2,Scaridae,0
42419,night,S. filiforme,3,Acanthuridae,0
42419,night,S. filiforme,3,Carangidae,0
42419,night,S. filiforme,3,Gerridae,0
42419,night,S. filiforme,3,Haemulidae,0
42419,night,S. filiforme,3,Lutjanidae,1
42419,night,S. filiforme,3,Mullidae,1
42419,night,S. filiforme,3,Scaridae,0
42419,night,S. filiforme,4,Acanthuridae,0
42419,night,S. filiforme,4,Carangidae,0
42419,night,S. filiforme,4,Gerridae,0
42419,night,S. filiforme,4,Haemulidae,0
42419,night,S. filiforme,4,Lutjanidae,1
42419,night,S. filiforme,4,Mullidae,1
42419,night,S. filiforme,4,Scaridae,0
42419,night,S. filiforme,5,Acanthuridae,2
42419,night,S. filiforme,5,Carangidae,0
42419,night,S. filiforme,5,Gerridae,0
42419,night,S. filiforme,5,Haemulidae,8
42419,night,S. filiforme,5,Lutjanidae,0
42419,night,S. filiforme,5,Mullidae,0
42419,night,S. filiforme,5,Scaridae,0
42420,day,H. stipulacea,1,Acanthuridae,0
42420,day,H. stipulacea,1,Carangidae,0
42420,day,H. stipulacea,1,Gerridae,0
42420,day,H. stipulacea,1,Haemulidae,0
42420,day,H. stipulacea,1,Lutjanidae,1
42420,day,H. stipulacea,1,Mullidae,0
42420,day,H. stipulacea,1,Scaridae,0
42420,day,H. stipulacea,2,Acanthuridae,0
42420,day,H. stipulacea,2,Carangidae,0
42420,day,H. stipulacea,2,Gerridae,1
42420,day,H. stipulacea,2,Haemulidae,0
42420,day,H. stipulacea,2,Lutjanidae,0
42420,day,H. stipulacea,2,Mullidae,0
42420,day,H. stipulacea,2,Scaridae,0
42420,day,H. stipulacea,3,Acanthuridae,0
42420,day,H. stipulacea,3,Carangidae,0
42420,day,H. stipulacea,3,Gerridae,0
42420,day,H. stipulacea,3,Haemulidae,0
42420,day,H. stipulacea,3,Lutjanidae,0
42420,day,H. stipulacea,3,Mullidae,0
42420,day,H. stipulacea,3,Scaridae,0
42420,day,H. stipulacea,4,Acanthuridae,1
42420,day,H. stipulacea,4,Carangidae,0
42420,day,H. stipulacea,4,Gerridae,0
42420,day,H. stipulacea,4,Haemulidae,1
42420,day,H. stipulacea,4,Lutjanidae,2
42420,day,H. stipulacea,4,Mullidae,0
42420,day,H. stipulacea,4,Scaridae,0
42420,day,H. stipulacea,5,Acanthuridae,0
42420,day,H. stipulacea,5,Carangidae,0
42420,day,H. stipulacea,5,Gerridae,0
42420,day,H. stipulacea,5,Haemulidae,4
42420,day,H. stipulacea,5,Lutjanidae,1
42420,day,H. stipulacea,5,Mullidae,0
42420,day,H. stipulacea,5,Scaridae,0
42420,day,S. filiforme,1,Acanthuridae,0
42420,day,S. filiforme,1,Carangidae,0
42420,day,S. filiforme,1,Gerridae,0
42420,day,S. filiforme,1,Haemulidae,1
42420,day,S. filiforme,1,Lutjanidae,0
42420,day,S. filiforme,1,Mullidae,0
42420,day,S. filiforme,1,Scaridae,1
42420,day,S. filiforme,2,Acanthuridae,0
42420,day,S. filiforme,2,Carangidae,0
42420,day,S. filiforme,2,Gerridae,0
42420,day,S. filiforme,2,Haemulidae,1
42420,day,S. filiforme,2,Lutjanidae,1
42420,day,S. filiforme,2,Mullidae,2
42420,day,S. filiforme,2,Scaridae,1
42420,day,S. filiforme,3,Acanthuridae,0
42420,day,S. filiforme,3,Carangidae,0
42420,day,S. filiforme,3,Gerridae,0
42420,day,S. filiforme,3,Haemulidae,0
42420,day,S. filiforme,3,Lutjanidae,0
