Date,Site,Treatment,Family,JuvFish
42408,Frenchman,H. stipulacea,Haemulidae,0
42408,Frenchman,H. stipulacea,Holocentridae,0
42408,Frenchman,H. stipulacea,Lutjanidae,6
42408,Frenchman,H. stipulacea,Mullidae,0
42408,Frenchman,H. stipulacea,Scaridae,0
42408,Frenchman,H. stipulacea,Sciaenidae,0
42408,Frenchman,S. filiforme,Haemulidae,0
42408,Frenchman,S. filiforme,Holocentridae,0
42408,Frenchman,S. filiforme,Lutjanidae,0
42408,Frenchman,S. filiforme,Mullidae,1
42408,Frenchman,S. filiforme,Scaridae,0
42408,Frenchman,S. filiforme,Sciaenidae,0
42408,Frenchman,Sand,Haemulidae,0
42408,Frenchman,Sand,Holocentridae,0
42408,Frenchman,Sand,Lutjanidae,0
42408,Frenchman,Sand,Mullidae,0
42408,Frenchman,Sand,Scaridae,0
42408,Frenchman,Sand,Sciaenidae,0
42408,Frenchman,T. testudinum,Haemulidae,0
42408,Frenchman,T. testudinum,Holocentridae,0
42408,Frenchman,T. testudinum,Lutjanidae,0
42408,Frenchman,T. testudinum,Mullidae,0
42408,Frenchman,T. testudinum,Scaridae,0
42408,Frenchman,T. testudinum,Sciaenidae,0
42408,Lindbergh,H. stipulacea,Haemulidae,0
42408,Lindbergh,H. stipulacea,Holocentridae,0
42408,Lindbergh,H. stipulacea,Lutjanidae,4
42408,Lindbergh,H. stipulacea,Mullidae,0
42408,Lindbergh,H. stipulacea,Scaridae,0
42408,Lindbergh,H. stipulacea,Sciaenidae,0
42408,Lindbergh,S. filiforme,Haemulidae,0
42408,Lindbergh,S. filiforme,Holocentridae,0
42408,Lindbergh,S. filiforme,Lutjanidae,1
42408,Lindbergh,S. filiforme,Mullidae,0
42408,Lindbergh,S. filiforme,Scaridae,0
42408,Lindbergh,S. filiforme,Sciaenidae,0
42408,Lindbergh,Sand,Haemulidae,0
42408,Lindbergh,Sand,Holocentridae,0
42408,Lindbergh,Sand,Lutjanidae,1
42408,Lindbergh,Sand,Mullidae,0
42408,Lindbergh,Sand,Scaridae,0
42408,Lindbergh,Sand,Sciaenidae,0
42408,Lindbergh,T. testudinum,Haemulidae,0
42408,Lindbergh,T. testudinum,Holocentridae,0
42408,Lindbergh,T. testudinum,Lutjanidae,0
42408,Lindbergh,T. testudinum,Mullidae,0
42408,Lindbergh,T. testudinum,Scaridae,0
42408,Lindbergh,T. testudinum,Sciaenidae,0
42408,Sprat,H. stipulacea,Haemulidae,0
42408,Sprat,H. stipulacea,Holocentridae,0
42408,Sprat,H. stipulacea,Lutjanidae,0
42408,Sprat,H. stipulacea,Mullidae,0
42408,Sprat,H. stipulacea,Scaridae,0
42408,Sprat,H. stipulacea,Sciaenidae,0
42408,Sprat,S. filiforme,Haemulidae,1
42408,Sprat,S. filiforme,Holocentridae,0
42408,Sprat,S. filiforme,Lutjanidae,1
42408,Sprat,S. filiforme,Mullidae,0
42408,Sprat,S. filiforme,Scaridae,0
42408,Sprat,S. filiforme,Sciaenidae,0
42408,Sprat,Sand,Haemulidae,1
42408,Sprat,Sand,Holocentridae,0
42408,Sprat,Sand,Lutjanidae,1
42408,Sprat,Sand,Mullidae,0
42408,Sprat,Sand,Scaridae,0
42408,Sprat,Sand,Sciaenidae,0
42408,Sprat,T. testudinum,Haemulidae,1
42408,Sprat,T. testudinum,Holocentridae,1
42408,Sprat,T. testudinum,Lutjanidae,0
42408,Sprat,T. testudinum,Mullidae,0
42408,Sprat,T. testudinum,Scaridae,0
42408,Sprat,T. testudinum,Sciaenidae,0
