"","Date","Soak.Type","Seagrass","Txid","Family","JuvFish","Guild"
"1",2016-02-18,"day","H. stipulacea",1,"Acanthuridae",0,"Herbivore"
"2",2016-02-18,"day","H. stipulacea",1,"Carangidae",0,"Diurnal Carnivore"
"3",2016-02-18,"day","H. stipulacea",1,"Gerridae",0,"Nocturnal Carnivore"
"4",2016-02-18,"day","H. stipulacea",1,"Haemulidae",0,"Nocturnal Carnivore"
"5",2016-02-18,"day","H. stipulacea",1,"Lutjanidae",0,"Nocturnal Carnivore"
"6",2016-02-18,"day","H. stipulacea",1,"Mullidae",0,"Diurnal Carnivore"
"7",2016-02-18,"day","H. stipulacea",1,"Scaridae",0,"Herbivore"
"8",2016-02-18,"day","H. stipulacea",2,"Acanthuridae",0,"Herbivore"
"9",2016-02-18,"day","H. stipulacea",2,"Carangidae",0,"Diurnal Carnivore"
"10",2016-02-18,"day","H. stipulacea",2,"Gerridae",0,"Nocturnal Carnivore"
"11",2016-02-18,"day","H. stipulacea",2,"Haemulidae",0,"Nocturnal Carnivore"
"12",2016-02-18,"day","H. stipulacea",2,"Lutjanidae",0,"Nocturnal Carnivore"
"13",2016-02-18,"day","H. stipulacea",2,"Mullidae",0,"Diurnal Carnivore"
"14",2016-02-18,"day","H. stipulacea",2,"Scaridae",0,"Herbivore"
"15",2016-02-18,"day","H. stipulacea",3,"Acanthuridae",0,"Herbivore"
"16",2016-02-18,"day","H. stipulacea",3,"Carangidae",0,"Diurnal Carnivore"
"17",2016-02-18,"day","H. stipulacea",3,"Gerridae",0,"Nocturnal Carnivore"
"18",2016-02-18,"day","H. stipulacea",3,"Haemulidae",0,"Nocturnal Carnivore"
"19",2016-02-18,"day","H. stipulacea",3,"Lutjanidae",2,"Nocturnal Carnivore"
"20",2016-02-18,"day","H. stipulacea",3,"Mullidae",0,"Diurnal Carnivore"
"21",2016-02-18,"day","H. stipulacea",3,"Scaridae",0,"Herbivore"
"22",2016-02-18,"day","H. stipulacea",4,"Acanthuridae",0,"Herbivore"
"23",2016-02-18,"day","H. stipulacea",4,"Carangidae",0,"Diurnal Carnivore"
"24",2016-02-18,"day","H. stipulacea",4,"Gerridae",0,"Nocturnal Carnivore"
"25",2016-02-18,"day","H. stipulacea",4,"Haemulidae",3,"Nocturnal Carnivore"
"26",2016-02-18,"day","H. stipulacea",4,"Lutjanidae",1,"Nocturnal Carnivore"
