site,spo,colony,treat,percChg
PERS,AC,Col302,c,-33.9
PERS,AC,Col302,sa,-10.9
PERS,AC,Col302,s,-4.1
PERS,AC,Col302,a,7
PERS,AC,Col305,a,-42.3
PERS,AC,Col305,s,-29.2
PERS,AC,Col305,c,-14.4
PERS,AC,Col305,sa,-0.6
PERS,AC,Col310,s,-23.7
PERS,AC,Col310,sa,-22.4
PERS,AC,Col310,a,-8.2
PERS,AC,Col310,c,6.7
FLAT,DA,Col313,sa,-40
FLAT,DA,Col313,s,-29.5
FLAT,DA,Col313,a,-10.5
FLAT,DA,Col314,sa,-44.7
FLAT,DA,Col314,c,-5.5
FLAT,DA,Col314,s,10.6
FLAT,DA,Col314,a,23
FLAT,AC,Col315,sa,-20.3
FLAT,AC,Col315,s,4.8
FLAT,AC,Col315,a,6
FLAT,AC,Col315,c,35.1
FLAT,AC,Col316,s,-24.3
FLAT,AC,Col316,sa,7.8
FLAT,AC,Col316,a,21.6
PERS,AC,Col317,c,-0.7
PERS,AC,Col317,sa,0.5
PERS,AC,Col317,s,6.7
PERS,AC,Col317,a,31.8
FLAT,AC,Col325,a,-34.8
FLAT,AC,Col325,sa,-27.6
FLAT,AC,Col325,s,-18.1
FLAT,AC,Col325,c,-3.8
FLAT,AC,Col333,a,-3
FLAT,AC,Col333,sa,5.8
FLAT,AC,Col333,s,9.8
FLAT,AC,Col333,c,33.9
FLAT,AC,Col339,sa,-29.3
FLAT,AC,Col339,a,-20.5
FLAT,AC,Col339,s,-13.1
FLAT,AC,Col339,c,6.2
FLAT,AC,Col340,s,-1.2
FLAT,AC,Col340,c,-0.8
FLAT,AC,Col340,sa,11.6
FLAT,AC,Col340,a,22.5
FLAT,DA,Col343,sa,-78.5
FLAT,DA,Col343,a,-71.2
FLAT,DA,Col343,c,-26
FLAT,DA,Col343,s,24.4
FLAT,AC,Col344,a,-43.8
FLAT,AC,Col344,sa,-14.1
FLAT,AC,Col344,c,-5.2
FLAT,AC,Col344,s,9.6
FLAT,DA,Col348,s,-30.8
FLAT,DA,Col348,sa,-30.5
FLAT,DA,Col348,c,24.9
FLAT,DA,Col348,a,109.3
FLAT,DA,Col392,a,-18.7
FLAT,DA,Col392,sa,-0.8
FLAT,DA,Col392,c,19.9
FLAT,DA,Col392,s,26
PERS,AC,Col402,sa,-26.6
PERS,AC,Col402,s,12.2
PERS,AC,Col402,a,18
PERS,AC,Col402,c,61.2
PERS,DA,Col403,sa,-23.8
PERS,DA,Col403,s,-14.9
PERS,DA,Col403,c,-9
PERS,DA,Col403,a,-6.2
PERS,DA,Col406,sa,-58.6
PERS,DA,Col406,s,-48.7
PERS,DA,Col406,c,-26.6
PERS,DA,Col406,a,-12
PERS,DA,Col407,s,-37.6
PERS,DA,Col407,sa,-25.9
PERS,DA,Col407,a,-25.8
PERS,DA,Col407,c,-13.1
FLAT,DA,Col409,sa,-26.2
FLAT,DA,Col409,s,-17.3
FLAT,DA,Col409,a,-12.2
FLAT,DA,Col409,c,1.9
PERS,AC,Col411,s,-11.2
PERS,AC,Col411,c,1.2
PERS,AC,Col411,sa,7.9
PERS,AC,Col411,a,9.4
PERS,AC,Col412,sa,-25.1
PERS,AC,Col412,s,-21
PERS,AC,Col412,a,-7.1
PERS,AC,Col412,c,-2
PERS,DA,Col415,a,-15.8
PERS,DA,Col415,s,-11.4
PERS,DA,Col415,sa,-8
PERS,DA,Col419,sa,-72.8
PERS,DA,Col419,s,10.3
PERS,DA,Col419,a,48.8
PERS,DA,Col420,sa,-45
PERS,DA,Col420,s,-44.5
PERS,DA,Col420,a,-25.5
PERS,DA,Col420,c,10.7
FLAT,DA,Col421,sa,-41.6
FLAT,DA,Col421,s,-15.3
FLAT,AC,Col423,a,-33.4
FLAT,AC,Col423,c,-16
FLAT,AC,Col423,s,-13.5
FLAT,AC,Col423,sa,-3
FLAT,DA,Col424,a,-21.8
FLAT,DA,Col424,sa,-18.2
FLAT,DA,Col424,s,-7.2
PERS,DA,Col497,s,-62.2
PERS,DA,Col497,sa,-13
PERS,DA,Col497,c,-12.6
PERS,DA,Col497,a,-3
PERS,DA,Col617,a,-27.7
PERS,DA,Col617,sa,-8.3
PERS,DA,Col617,c,5.5
PERS,DA,Col617,s,45.8
