program,site,year,month,replicate,replicatetype,sppname,commonname,trophicgroup,counts
TCRMP,Black Point,2014,9,1,transect,Stegastes leucostictus,beaugregory,herb,5
TCRMP,Black Point,2014,9,1,transect,Hypoplectrus nigricans,black hamlet,inv,1
TCRMP,Black Point,2014,9,1,transect,Acanthurus coeruleus,blue tang,herb,7
TCRMP,Black Point,2014,9,1,transect,Thalassoma bifasciatum,bluehead wrasse,plank,21
TCRMP,Black Point,2014,9,1,transect,Chromis multilineata,brown chromis,plank,3
TCRMP,Black Point,2014,9,1,transect,Stegastes adustus,dusky damselfish,herb,12
TCRMP,Black Point,2014,9,1,transect,Gramma loreto,fairy basslet,inv,1
TCRMP,Black Point,2014,9,1,transect,Haemulon flavolineatum,French grunt,inv,4
TCRMP,Black Point,2014,9,1,transect,Haemulon flavolineatum,French grunt,inv,40
TCRMP,Black Point,2014,9,1,transect,Acanthurus bahianus,ocean surgeonfish,herb,1
TCRMP,Black Point,2014,9,1,transect,Sparisoma aurofrenatum,redband parrotfish,herb,10
TCRMP,Black Point,2014,9,1,transect,Canthigaster rostrata,sharpnose puffer,inv,1
TCRMP,Black Point,2014,9,1,transect,Sparisoma viride,stoplight parrotfish,herb,2
TCRMP,Black Point,2014,9,1,transect,Scarus iseri,striped parrotfish,herb,71
TCRMP,Black Point,2014,9,1,transect,Stegastes planifrons,threespot damselfish,herb,14
TCRMP,Black Point,2014,9,1,transect,Halichoeres garnoti,yellowhead wrasse,inv,2
TCRMP,Black Point,2014,9,2,transect,Hypoplectrus puella,barred hamlet,inv,1
TCRMP,Black Point,2014,9,2,transect,Stegastes leucostictus,beaugregory,herb,9
TCRMP,Black Point,2014,9,2,transect,Caranx crysos,blue runner,inv,1
TCRMP,Black Point,2014,9,2,transect,Acanthurus coeruleus,blue tang,herb,2
TCRMP,Black Point,2014,9,2,transect,Thalassoma bifasciatum,bluehead wrasse,plank,15
TCRMP,Black Point,2014,9,2,transect,Acanthurus chirurgus,doctorfish,herb,1
TCRMP,Black Point,2014,9,2,transect,Stegastes adustus,dusky damselfish,herb,5
TCRMP,Black Point,2014,9,2,transect,Gramma loreto,fairy basslet,inv,2
