Population,pH_Level,Growth_Rate
Pop_1,Ambient,1.0496714153011233
Pop_1,Ambient,0.9861735698828815
Pop_1,Ambient,1.0647688538100692
Pop_1,Ambient,1.1523029856408025
Pop_1,Ambient,0.9765846625276664
Pop_1,Ambient,0.976586304305082
Pop_1,Ambient,1.1579212815507391
Pop_1,Ambient,1.076743472915291
Pop_1,Ambient,0.9530525614065047
Pop_1,Ambient,1.0542560043585965
Pop_1,Ambient,0.9536582307187538
Pop_1,Ambient,0.9534270246429744
Pop_1,Ambient,1.0241962271566034
Pop_1,Ambient,0.8086719755342202
Pop_1,Ambient,0.8275082167486967
Pop_1,Ambient,0.9437712470759028
Pop_1,Ambient,0.8987168879665576
Pop_1,Ambient,1.0314247332595274
Pop_1,Ambient,0.9091975924478789
Pop_1,Ambient,0.8587696298664709
Pop_1,Moderate,0.9465648768921555
Pop_1,Moderate,0.7774223699513465
Pop_1,Moderate,0.8067528204687924
Pop_1,Moderate,0.6575251813786543
Pop_1,Moderate,0.7455617275474817
Pop_1,Moderate,0.8110922589709867
Pop_1,Moderate,0.6849006422577697
Pop_1,Moderate,0.8375698018345672
Pop_1,Moderate,0.7399361310081195
Pop_1,Moderate,0.7708306250206723
Pop_1,Moderate,0.7398293387770604
Pop_1,Moderate,0.9852278184508938
Pop_1,Moderate,0.7986502775262067
Pop_1,Moderate,0.69422890710441
Pop_1,Moderate,0.882254491210319
Pop_1,Moderate,0.6779156350028979
Pop_1,Moderate,0.8208863595004756
Pop_1,Moderate,0.6040329876120225
Pop_1,Moderate,0.667181395110157
Pop_1,Moderate,0.8196861235869124
Pop_1,High,0.573846657999541
Pop_1,High,0.5171368281189971
Pop_1,High,0.48843517176117596
Pop_1,High,0.4698896304410711
Pop_1,High,0.35214780096325726
Pop_1,High,0.4280155791605291
Pop_1,High,0.45393612290402124
Pop_1,High,0.6057122226218916
Pop_1,High,0.5343618289568461
Pop_1,High,0.3236959844637266
Pop_1,High,0.5324083969394795
Pop_1,High,0.4614917719583683
Pop_1,High,0.4323077999694041
Pop_1,High,0.5611676288840868
Pop_1,High,0.6030999522495951
Pop_1,High,0.5931280119116199
Pop_1,High,0.41607824767773616
Pop_1,High,0.46907876241487856
Pop_1,High,0.5331263431403563
Pop_1,High,0.5975545127122359
Pop_2,Ambient,0.952082576215471
Pop_2,Ambient,0.9814341023336183
Pop_2,Ambient,0.8893665025993972
Pop_2,Ambient,0.8803793375919329
Pop_2,Ambient,1.08125258223942
Pop_2,Ambient,1.1356240028570823
Pop_2,Ambient,0.9927989878419666
Pop_2,Ambient,1.1003532897892023
Pop_2,Ambient,1.0361636025047634
Pop_2,Ambient,0.9354880245394875
Pop_2,Ambient,1.0361395605508414
Pop_2,Ambient,1.153803656646597
Pop_2,Ambient,0.9964173960890048
Pop_2,Ambient,1.1564643655814006
Pop_2,Ambient,0.7380254895910255
Pop_2,Ambient,1.0821902504375225
Pop_2,Ambient,1.008704706823817
Pop_2,Ambient,0.9700992649534133
Pop_2,Ambient,1.0091760776535503
Pop_2,Ambient,0.8012431085399108
Pop_2,Moderate,0.7780328112162489
Pop_2,Moderate,0.8357112571511747
Pop_2,Moderate,0.9477894044741517
Pop_2,Moderate,0.7481729781726353
Pop_2,Moderate,0.7191506397106813
Pop_2,Moderate,0.7498242956415464
Pop_2,Moderate,0.8915402117702075
Pop_2,Moderate,0.8328751109659684
Pop_2,Moderate,0.7470239796232961
