Region,Cove,Otter_ID,Foraging_Success
North,Alpha,North_Alpha_0,7.924930850926071
North,Alpha,North_Alpha_1,8.764075353366955
North,Alpha,North_Alpha_2,7.838948078381769
North,Alpha,North_Alpha_3,9.437563983
North,Alpha,North_Alpha_4,12.797378982349198
North,Alpha,North_Alpha_5,10.354214144246173
North,Alpha,ReplicatedOtter_6,12.288657303898304
North,Alpha,North_Alpha_7,11.509480567561692
North,Alpha,North_Alpha_8,12.696926917190767
North,Alpha,ReplicatedOtter_9,9.97984774
North,Alpha,North_Alpha_10,5.387843580768469
North,Alpha,North_Alpha_11,11.831179828797787
North,Alpha,North_Alpha_12,9.814227858707957
North,Alpha,North_Alpha_13,8.985823103
North,Alpha,North_Alpha_14,8.287023658183061
North,Alpha,North_Alpha_15,8.265433492406487
North,Alpha,North_Alpha_16,6.327821820734719
North,Alpha,North_Alpha_17,11.680457413154102
North,Alpha,North_Alpha_18,9.988426461
North,Alpha,North_Alpha_19,9.744072751
North,Beta,North_Beta_0,11.32401921785992
North,Beta,North_Beta_1,15.766135648241951
North,Beta,ReplicatedOtter_2,11.16417187848891
North,Beta,North_Beta_3,7.928721783272145
North,Beta,North_Beta_4,7.878442368553746
North,Beta,North_Beta_5,8.835927560232214
North,Beta,North_Beta_6,7.809037762
North,Beta,North_Beta_7,8.049341721963525
North,Beta,North_Beta_8,14.01643175046291
North,Beta,North_Beta_9,9.355319565790666
North,Beta,North_Beta_10,9.616196250282622
North,Beta,North_Beta_11,13.044178872398252
North,Beta,North_Beta_12,11.04705242693998
North,Beta,North_Beta_13,5.486767067721951
North,Beta,North_Beta_14,10.488735001366427
North,Beta,North_Beta_15,12.61610476727273
North,Beta,North_Beta_16,9.933910134921812
North,Beta,North_Beta_17,9.459178926452173
North,Beta,North_Beta_18,9.103868471073008
North,Beta,North_Beta_19,12.181769746448184
North,Gamma,North_Gamma_0,9.673472919382611
North,Gamma,North_Gamma_1,10.867230662961598
North,Gamma,ReplicatedOtter_2,11.147811234553853
North,Gamma,North_Gamma_3,5.813052614133181
North,Gamma,North_Gamma_4,5.954777527478824
North,Gamma,North_Gamma_5,9.015047559970984
North,Gamma,North_Gamma_6,11.760740160018518
North,Gamma,North_Gamma_7,8.528544338574092
North,Gamma,North_Gamma_8,9.961196291282464
North,Gamma,North_Gamma_9,9.485186023907874
North,Gamma,North_Gamma_10,8.930751759
North,Gamma,North_Gamma_11,12.68269550713633
North,Gamma,North_Gamma_12,8.898834107
North,Gamma,North_Gamma_13,8.938370068778433
North,Gamma,North_Gamma_14,9.097887822651128
North,Gamma,ReplicatedOtter_15,9.678661615
North,Gamma,North_Gamma_16,12.167371721733424
North,Gamma,North_Gamma_17,7.905436329772536
North,Gamma,North_Gamma_18,9.080678160734642
North,Gamma,North_Gamma_19,12.555137605044639
Central,Alpha,ReplicatedOtter_0,8.139312806881817
Central,Alpha,Central_Alpha_1,8.870149722081006
Central,Alpha,Central_Alpha_2,12.18469255019804
Central,Alpha,Central_Alpha_3,10.365994113741644
Central,Alpha,Central_Alpha_4,15.95227104960926
Central,Alpha,Central_Alpha_5,11.876102121508858
Central,Alpha,Central_Alpha_6,12.11744839615294
Central,Alpha,Central_Alpha_7,9.822065354645751
Central,Alpha,Central_Alpha_8,16.041014947505428
Central,Alpha,Central_Alpha_9,13.60670348524799
Central,Alpha,ReplicatedOtter_10,8.826549348
Central,Alpha,Central_Alpha_11,12.137187251448719
Central,Alpha,Central_Alpha_12,9.076166968431355
Central,Alpha,Central_Alpha_13,10.188649041294982
Central,Alpha,Central_Alpha_14,7.252480486014276
Central,Alpha,Central_Alpha_15,12.651205043512613
Central,Alpha,Central_Alpha_16,7.056545336854657
Central,Alpha,Central_Alpha_17,11.928998035109517
Central,Alpha,Central_Alpha_18,8.909220252555064
Central,Alpha,Central_Alpha_19,10.167336210480821
Central,Beta,ReplicatedOtter_0,8.739276848760875
Central,Beta,ReplicatedOtter_1,12.32016993657736
Central,Beta,Central_Beta_2,11.063042480545862
Central,Beta,Central_Beta_3,9.439109097771697
Central,Beta,Central_Beta_4,9.211167272
Central,Beta,Central_Beta_5,9.228635698553026
Central,Beta,Central_Beta_6,8.216418281277056
Central,Beta,Central_Beta_7,7.952329959308394
Central,Beta,Central_Beta_8,7.279105787060483
Central,Beta,Central_Beta_9,9.036684349968116
Central,Beta,Central_Beta_10,9.435817280777542
Central,Beta,Central_Beta_11,12.50790000834773
Central,Beta,Central_Beta_12,4.589333053108529
Central,Beta,Central_Beta_13,6.928407685295773
Central,Beta,Central_Beta_14,6.412591891357597
Central,Beta,Central_Beta_15,13.519020391999883
Central,Beta,Central_Beta_16,12.343583366036729
Central,Beta,Central_Beta_17,6.2961773032909445
Central,Beta,Central_Beta_18,8.835422425569067
Central,Beta,Central_Beta_19,10.264472574191819
Central,Gamma,ReplicatedOtter_0,12.106017277594187
Central,Gamma,Central_Gamma_1,10.677231501427253
Central,Gamma,Central_Gamma_2,8.693642981445633
Central,Gamma,Central_Gamma_3,11.11649010632394
Central,Gamma,Central_Gamma_4,9.640986497800098
Central,Gamma,Central_Gamma_5,11.902985931671976
Central,Gamma,Central_Gamma_6,10.243397214499973
