Region,Cove,Otter_ID,Foraging_Success
Central,Otterly Cove,Finn,7.056545337
Central,Otterly Cove,Finn,7.252480486
Central,Otterly Cove,Luna,8.139312807
Central,Otterly Cove,Ripple,8.826549348
Central,Otterly Cove,Tidbit,8.870149722
Central,Otterly Cove,Tidbit,8.909220253
Central,Otterly Cove,Tidbit,9.076166968
Central,Otterly Cove,Marina,9.822065355
Central,Otterly Cove,Marina,10.16733621
Central,Otterly Cove,Marina,10.18864904
Central,Otterly Cove,Drizzle,10.36599411
Central,Otterly Cove,Paddle,11.87610212
Central,Otterly Cove,Paddle,11.92899804
Central,Otterly Cove,Brook,12.1174484
Central,Otterly Cove,Brook,12.13718725
Central,Otterly Cove,Brook,12.18469255
Central,Otterly Cove,Sway,12.65120504
Central,Otterly Cove,Sway,13.60670349
Central,Otterly Cove,Sway,15.95227105
Central,Otterly Cove,Sway,16.04101495
Central,Kelpie Nook,Finn,4.589333053
Central,Kelpie Nook,Finn,6.296177303
Central,Kelpie Nook,Finn,6.412591891
Central,Kelpie Nook,Finn,6.928407685
Central,Kelpie Nook,Luna,7.279105787
Central,Kelpie Nook,Luna,7.952329959
Central,Kelpie Nook,Ripple,8.216418281
Central,Kelpie Nook,Ripple,8.739276849
Central,Kelpie Nook,Ripple,8.835422426
Central,Kelpie Nook,Tidbit,9.03668435
Central,Kelpie Nook,Tidbit,9.211167272
Central,Kelpie Nook,Whisk,9.228635699
Central,Kelpie Nook,Whisk,9.435817281
Central,Kelpie Nook,Whisk,9.439109098
Central,Kelpie Nook,Marina,10.26447257
Central,Kelpie Nook,Paddle,11.06304248
Central,Kelpie Nook,Brook,12.32016994
Central,Kelpie Nook,Brook,12.34358337
Central,Kelpie Nook,Sway,12.50790001
Central,Kelpie Nook,Sway,13.51902039
Central,Whisker Bay,Luna,7.422685352
Central,Whisker Bay,Luna,7.732585634
Central,Whisker Bay,Luna,7.772431582
Central,Whisker Bay,Ripple,8.28672728
Central,Whisker Bay,Ripple,8.693642981
Central,Whisker Bay,Tidbit,9.145269175
Central,Whisker Bay,Whisk,9.433769507
Central,Whisker Bay,Whisk,9.455663982
Central,Whisker Bay,Whisk,9.54913197
Central,Whisker Bay,Marina,9.640986498
Central,Whisker Bay,Marina,10.24339721
Central,Whisker Bay,Drizzle,10.39758157
Central,Whisker Bay,Drizzle,10.56515585
Central,Whisker Bay,Drizzle,10.61859109
Central,Whisker Bay,Drizzle,10.6242836
Central,Whisker Bay,Drizzle,10.6772315
Central,Whisker Bay,Paddle,11.11649011
Central,Whisker Bay,Paddle,11.26786651
Central,Whisker Bay,Paddle,11.90298593
Central,Whisker Bay,Brook,12.10601728
North,Flufftail Inlet,Finn,5.387843581
North,Flufftail Inlet,Finn,6.327821821
